longitude,latitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7
74.85291667,12.95041667,8986,-28672,8880,9049,5938,-28672,853
74.85291667,12.95069444,8986,-28672,8880,9049,5938,-28672,853
74.85458333,12.95069444,8986,-28672,8880,9049,5938,-28672,853
74.85458336,12.95041669,8986,-28672,8880,9049,5938,-28672,853
74.85680556,12.95041667,9139,-28672,8979,9185,6105,-28672,837
74.85680558,12.95013892,9139,-28672,8979,9185,6105,-28672,837
74.85819444,12.95013889,9139,-28672,8979,9185,6105,-28672,837
74.85819447,12.94986114,9139,-28672,8979,9185,6105,-28672,837
74.85847222,12.94986111,9139,-28672,8979,9185,6105,-28672,837
74.85847225,12.94958336,9139,-28672,8979,9185,6105,-28672,837
74.85875,12.94958333,9139,-28672,8979,9185,6105,-28672,837
74.85875003,12.94930558,9139,-28672,8979,9185,6105,-28672,837
74.85930556,12.94930556,9139,-28672,8979,9185,6105,-28672,837
74.85930558,12.94902781,9139,-28672,8979,9185,6105,-28672,837
74.85958333,12.94902778,9139,-28672,8979,9185,6105,-28672,837
74.85958336,12.94875003,9139,-28672,8979,9185,6105,-28672,837
74.85986111,12.94875,9139,-28672,8979,9185,6105,-28672,837
74.85986114,12.94847225,9139,-28672,8979,9185,6105,-28672,837
74.86013889,12.94847222,9139,-28672,8979,9185,6105,-28672,837
74.86013892,12.94819447,9285,-28672,9090,9311,6109,1775,840
74.86041667,12.94819444,9285,-28672,9090,9311,6109,1775,840
74.86041669,12.94791669,9285,-28672,9090,9311,6109,1775,840
74.86097222,12.94791667,9285,-28672,9090,9311,6109,1775,840
74.86097225,12.94763892,9285,-28672,9090,9311,6109,1775,840
74.86125,12.94763889,9285,-28672,9090,9311,6109,1775,840
74.86125003,12.94736114,9285,-28672,9090,9311,6109,1775,840
74.86152778,12.94736111,9285,-28672,9090,9311,6109,1775,840
74.86152781,12.94708336,9285,-28672,9090,9311,6109,1775,840
74.86180556,12.94708333,9285,-28672,9090,9311,6109,1775,840
74.86180558,12.94680558,9285,-28672,9090,9311,6109,1775,840
74.86208333,12.94680556,9285,-28672,9090,9311,6109,1775,840
74.86208336,12.94652781,9285,-28672,9090,9311,6109,1775,840
74.86236111,12.94652778,9285,-28672,9090,9311,6109,1775,840
74.86236114,12.94625003,9285,-28672,9090,9311,6109,1775,840
74.86263889,12.94625,9285,-28672,9090,9311,6109,1775,840
74.86263892,12.94597225,9285,-28672,9090,9311,6109,1775,840
74.86291667,12.94597222,9285,-28672,9090,9311,6109,1775,840
74.86291669,12.94541669,9285,-28672,9090,9311,6109,1775,840
74.86319444,12.94541667,9285,-28672,9090,9311,6109,1775,840
74.86319447,12.94513892,9285,-28672,9090,9311,6109,1775,840
74.86375,12.94513889,9356,-28672,9153,9360,6041,1782,819
74.86375003,12.94486114,9356,-28672,9153,9360,6041,1782,819
74.86402778,12.94486111,9356,-28672,9153,9360,6041,1782,819
74.86402781,12.94458336,9356,-28672,9153,9360,6041,1782,819
74.86430556,12.94458333,9356,-28672,9153,9360,6041,1782,819
74.86430558,12.94402781,9356,-28672,9153,9360,6041,1782,819
74.86458333,12.94402778,9356,-28672,9153,9360,6041,1782,819
74.86458336,12.94375003,9317,-28672,9152,9348,6111,1848,831
74.86486111,12.94375,9356,-28672,9153,9360,6041,1782,819
74.86486114,12.94319447,9317,-28672,9152,9348,6111,1848,831
74.86513889,12.94319444,9317,-28672,9152,9348,6111,1848,831
74.86513892,12.94291669,9317,-28672,9152,9348,6111,1848,831
74.86541667,12.94291667,9317,-28672,9152,9348,6111,1848,831
74.86541669,12.94236114,9317,-28672,9152,9348,6111,1848,831
74.86569444,12.94236111,9317,-28672,9152,9348,6111,1848,831
74.86569447,12.94208336,9317,-28672,9152,9348,6111,1848,831
74.86597222,12.94208333,9317,-28672,9152,9348,6111,1848,831
74.86597225,12.94180558,9317,-28672,9152,9348,6111,1848,831
74.86625,12.94180556,9317,-28672,9152,9348,6111,1848,831
74.86625003,12.94152781,9317,-28672,9152,9348,6111,1848,831
74.86680556,12.94152778,9378,-28672,9192,9389,6012,1798,811
74.86680558,12.94125003,9378,-28672,9192,9389,6012,1798,811
74.86708333,12.94125,9378,-28672,9192,9389,6012,1798,811
74.86708336,12.94097225,9378,-28672,9192,9389,6012,1798,811
74.86736111,12.94097222,9378,-28672,9192,9389,6012,1798,811
74.86736114,12.94069447,9378,-28672,9192,9389,6012,1798,811
74.86763889,12.94069444,9378,-28672,9192,9389,6012,1798,811
74.86763892,12.94041669,9378,-28672,9192,9389,6012,1798,811
74.86791667,12.94041667,9378,-28672,9192,9389,6012,1798,811
74.86791669,12.94013892,9378,-28672,9192,9389,6012,1798,811
74.86847222,12.94013889,9378,-28672,9192,9389,6012,1798,811
74.86847225,12.93986114,9378,-28672,9192,9389,6012,1798,811
74.86902778,12.93986111,9378,-28672,9192,9389,6012,1798,811
74.86902781,12.93958336,9378,-28672,9192,9389,6012,1798,811
74.86958333,12.93958333,9378,-28672,9192,9389,6012,1798,811
74.86958336,12.93930558,9365,-28672,9161,9342,6012,1798,811
74.86986111,12.93930556,9365,-28672,9161,9342,6012,1798,811
74.86986114,12.93902781,9365,-28672,9161,9342,6012,1798,811
74.87069444,12.93902778,9365,-28672,9161,9342,6012,1798,811
74.87069447,12.93875003,9365,-28672,9161,9342,6012,1798,811
74.87180553,12.93875003,9365,-28672,9161,9342,6012,1798,811
74.87180556,12.93902778,9365,-28672,9161,9342,6012,1798,811
74.87236111,12.93902778,9365,-28672,9161,9342,6012,1798,811
74.87236114,12.93875003,9365,-28672,9161,9342,6012,1798,811
74.87263886,12.93875003,9365,-28672,9161,9342,6012,1798,811
74.87263889,12.93902778,9365,-28672,9161,9342,6012,1798,811
74.87430553,12.93902781,9214,-28672,9034,9194,6016,1857,852
74.87430556,12.93930556,9214,-28672,9034,9194,6016,1857,852
74.87569442,12.93930558,9214,-28672,9034,9194,6016,1857,852
74.87569444,12.93958333,9214,-28672,9034,9194,6016,1857,852
